iter	Passed	Remaining
401	13577	3309
402	13611	3276
403	13641	3241
404	13670	3206
405	13705	3173
406	13736	3138
407	13769	3104
408	13803	3071
409	13840	3038
410	13874	3004
411	13910	2971
412	13942	2937
413	13976	2903
414	14007	2869
415	14039	2834
416	14069	2800
417	14102	2766
418	14132	2732
419	14161	2697
420	14195	2663
421	14223	2628
422	14252	2594
423	14282	2560
424	14317	2526
425	14356	2493
426	14397	2461
427	14432	2427
428	14467	2394
429	14501	2360
430	14531	2326
431	14565	2292
432	14597	2258
433	14628	2224
434	14660	2190
435	14694	2157
436	14725	2122
437	14757	2088
438	14791	2055
439	14824	2021
440	14853	1987
441	14882	1952
442	14911	1918
443	14945	1884
444	14973	1850
445	15005	1816
446	15039	1783
447	15071	1749
448	15100	1715
449	15132	1681
450	15166	1647
451	15196	1613
452	15228	1580
453	15259	1546
454	15295	1512
455	15328	1479
456	15358	1445
457	15389	1411
458	15422	1377
459	15454	1343
460	15486	1310
461	15521	1276
462	15554	1243
463	15583	1209
464	15613	1175
465	15645	1141
466	15678	1107
467	15714	1074
468	15743	1040
469	15775	1006
470	15807	973
471	15839	939
472	15869	905
473	15900	872
474	15935	838
475	15965	804
476	15997	771
477	16026	737
478	16059	704
479	16091	670
480	16121	636
481	16150	603
482	16180	569
483	16211	535
484	16243	502
485	16278	468
486	16312	435
487	16340	401
488	16372	368
489	16404	334
490	16435	301
491	16466	267
492	16495	234
493	16525	200
494	16556	167
495	16591	133
496	16630	100
497	16669	66
498	16706	33
499	16740	0
