iter	Logloss
0	0.6410296508
1	0.594183078
2	0.5633924909
3	0.5355748704
4	0.5166350808
5	0.4892443799
6	0.4685890711
7	0.456953762
8	0.4471557516
9	0.4378039306
10	0.4284411502
11	0.4210426162
12	0.4104185462
13	0.4064343935
14	0.3929300678
15	0.3874648054
16	0.3792420152
17	0.37450836
18	0.3703996215
19	0.3644149848
20	0.3597882189
21	0.3509029983
22	0.3458537288
23	0.3384092641
24	0.3338836352
25	0.331268854
26	0.3263075529
27	0.32181916
28	0.31668141
29	0.3130094783
30	0.3103783366
31	0.3050234988
32	0.297000396
33	0.2875534708
34	0.2846780511
35	0.2816028498
36	0.2803269304
37	0.2776434616
38	0.2749298011
39	0.2730023037
40	0.2712464365
41	0.2689647838
42	0.2656971506
43	0.2633705426
44	0.2600090798
45	0.2578000054
46	0.2547535742
47	0.2501107774
48	0.2437751439
49	0.242441422
50	0.2408123104
51	0.2394949055
52	0.237498762
53	0.2364704263
54	0.2336442577
55	0.2325669876
56	0.2315169369
57	0.2270234862
58	0.2250568939
59	0.2232110805
60	0.2213127857
61	0.2187938515
62	0.2179001765
63	0.2161185114
64	0.2132098748
65	0.2116485072
66	0.2109473578
67	0.2102719335
68	0.209739878
69	0.2087367478
70	0.2082544274
71	0.2072639203
72	0.206577656
73	0.2054374046
74	0.2048046187
75	0.2032942995
76	0.2021317822
77	0.2012490604
78	0.1996907537
79	0.1992613511
80	0.1983082896
81	0.1980371962
82	0.1976748745
83	0.1970038101
84	0.195734614
85	0.1949251177
86	0.193233571
87	0.1927514244
88	0.19220247
89	0.1903892783
90	0.1900432645
91	0.1892458567
92	0.18804258
93	0.1873897599
94	0.1857900762
95	0.1852442467
96	0.1850526274
97	0.1835020724
98	0.1826257056
99	0.1823018276
100	0.1814248059
101	0.1808331769
102	0.1806303621
103	0.1802281528
104	0.1794246756
105	0.179126429
106	0.1784956736
107	0.1776138388
108	0.1773370379
109	0.176682348
110	0.1762161622
111	0.175679961
112	0.1748910397
113	0.1747016332
114	0.1739148344
115	0.1732929277
116	0.1730312985
117	0.1729083974
118	0.1725053821
119	0.1723484475
120	0.1720359266
121	0.1718845023
122	0.171633662
123	0.1713168771
124	0.1711287048
125	0.171009514
126	0.1703906995
127	0.1696898358
128	0.1694196313
129	0.1690365164
130	0.1686959891
131	0.1679905285
132	0.167070789
133	0.1664221046
134	0.1656238957
135	0.1647750758
136	0.1639513708
137	0.1633297095
138	0.1623484683
139	0.1619910684
140	0.1617595486
141	0.1608183546
142	0.1606782523
143	0.1601514908
144	0.1599487997
145	0.1595754563
146	0.1591077741
147	0.1587790355
148	0.1586141632
149	0.1584851781
150	0.1583382278
151	0.1581291961
152	0.1577208589
153	0.1574542464
154	0.1572904544
155	0.1568216391
156	0.1565923807
157	0.1563224415
158	0.1559191442
159	0.1556734814
160	0.1548782835
161	0.1544034163
162	0.1541856276
163	0.1539560923
164	0.1535662835
165	0.1533067902
166	0.1532106297
167	0.1529296741
168	0.1527616687
169	0.1526183
170	0.1523768516
171	0.1520915547
172	0.1520012518
173	0.1518956186
174	0.151651819
175	0.1514651042
176	0.1512354655
177	0.1510648478
178	0.1509092595
179	0.1507523833
180	0.1506207576
181	0.1503614194
182	0.1499464972
183	0.1493317035
184	0.1492053911
185	0.1490850218
186	0.1488297711
187	0.1485715783
188	0.1481206546
189	0.1479626528
190	0.1473878683
191	0.1471019997
192	0.1469763088
193	0.1467657001
194	0.1466484508
195	0.1464099271
196	0.1463028758
197	0.1461891547
198	0.1460880505
199	0.1459729612
200	0.1458347436
201	0.145586887
202	0.1454647186
203	0.145260749
204	0.1450065786
205	0.1449440132
206	0.1448154395
207	0.1446268947
208	0.144536699
209	0.1443877887
210	0.1442058916
211	0.1440023619
212	0.1438873476
213	0.1437942857
214	0.1435050843
215	0.1433033914
216	0.1430414557
217	0.1428608636
218	0.1427180119
219	0.1426110072
220	0.1425556752
221	0.1421815884
222	0.1420890779
223	0.1419592623
224	0.1417649568
225	0.1415815114
226	0.1414710772
227	0.1410495387
228	0.1407665297
229	0.1405936183
230	0.1404867152
231	0.1404100165
232	0.1403224431
233	0.1402424724
234	0.1401661729
235	0.1399535277
236	0.1395957808
237	0.139485219
238	0.1393870578
239	0.1390855692
240	0.1389492624
241	0.1386064647
242	0.1382573704
243	0.1380647542
244	0.1378597658
245	0.1377258657
246	0.1376431843
247	0.1375043607
248	0.137342306
249	0.1371997083
250	0.1370123535
251	0.136877065
252	0.1365419231
253	0.1362783808
254	0.1360985462
255	0.1359771936
256	0.1358471297
257	0.1356817149
258	0.1356057888
259	0.135480644
260	0.1353327656
261	0.1352038696
262	0.1351210134
263	0.1349809275
264	0.1349149007
265	0.1348017071
266	0.1346130308
267	0.1344957798
268	0.1344486041
269	0.1343363506
270	0.1342805966
271	0.1341654751
272	0.1340108965
273	0.1339666202
274	0.1338759355
275	0.1337635324
276	0.1336124364
277	0.1334711954
278	0.133414634
279	0.1332754721
280	0.1332059471
281	0.133137311
282	0.1329971542
283	0.1329378525
284	0.1328847463
285	0.1326725694
286	0.1325185378
287	0.1324127898
288	0.1322949397
289	0.1322185256
290	0.1321429522
291	0.1319956064
292	0.1318966826
293	0.1318205778
294	0.1316542358
295	0.1314091732
296	0.1312964594
297	0.1311948169
298	0.1310262871
299	0.130920737
300	0.1307220056
301	0.1306201919
302	0.130503768
303	0.130394102
304	0.1303582745
305	0.1301671493
306	0.1300661257
307	0.1297960856
308	0.1297371104
309	0.1296175953
310	0.1294954431
311	0.1293711089
312	0.1291857424
313	0.1291020203
314	0.1289575991
315	0.1288738963
316	0.1287047264
317	0.1285593068
318	0.1284418592
319	0.1283687896
320	0.1282800319
321	0.128191383
322	0.1281352834
323	0.1280234626
324	0.1279310567
325	0.1278271302
326	0.1277175892
327	0.1276376918
328	0.1275444012
329	0.1274406429
330	0.1272765774
331	0.127129733
332	0.1270365357
333	0.1269480258
334	0.1268673273
335	0.1267380819
336	0.1266876192
337	0.1266400764
338	0.1265299364
339	0.1264488909
340	0.1263943638
341	0.1263289924
342	0.1262291051
343	0.1261463156
344	0.12608046
345	0.1259928802
346	0.1259556569
347	0.1259014787
348	0.125837337
349	0.1257770449
350	0.1257182503
351	0.1256214482
352	0.125559306
353	0.1254428228
354	0.1253935199
355	0.1253212268
356	0.1251996403
357	0.1251284869
358	0.1250763002
359	0.1250267395
360	0.12497693
361	0.124902565
362	0.1248386112
363	0.1247671668
364	0.1247287998
365	0.1246256113
366	0.1245393242
367	0.1244063771
368	0.1242754742
369	0.1241884839
370	0.1240282539
371	0.1239732732
372	0.1239003152
373	0.1238433931
374	0.1237147664
375	0.1236089993
376	0.1234885191
377	0.1234472224
378	0.1233283935
379	0.1232627824
380	0.1232074421
381	0.1231551444
382	0.1230881591
383	0.1230220399
384	0.1229294769
385	0.1228015003
386	0.122766398
387	0.1226892372
388	0.1226611766
389	0.1223974571
390	0.1222343749
391	0.1220589015
392	0.1219872543
393	0.1219313524
394	0.121871577
395	0.1217856841
396	0.1217116489
397	0.1216466467
398	0.1215842969
399	0.1215184449
400	0.1214607787
401	0.1213626951
402	0.1213024667
403	0.1212143552
404	0.1211469329
405	0.1210834164
406	0.1210328799
407	0.1209506729
408	0.1209113225
409	0.1207507459
410	0.1206474618
411	0.1205713991
412	0.1205065713
413	0.1204422318
414	0.1203907887
415	0.1203265643
416	0.1202673256
417	0.1202162579
418	0.1201736865
419	0.1201082498
420	0.1199833979
421	0.1198968825
422	0.1198576861
423	0.1198026215
424	0.1197090415
425	0.1196235872
426	0.1195252582
427	0.1194905014
428	0.1193695635
429	0.1192707705
430	0.1191676665
431	0.1190791887
432	0.1190012933
433	0.1189542523
434	0.1188832979
435	0.1187755988
436	0.1187147117
437	0.1186720638
438	0.1186244569
439	0.1185678854
440	0.11850862
441	0.11837943
442	0.1183258302
443	0.1182668492
444	0.1182223283
445	0.1181892339
446	0.1181070256
447	0.1180074766
448	0.1179779964
449	0.1179188209
450	0.1178656838
451	0.117791397
452	0.1177121813
453	0.117615444
454	0.1174942573
455	0.1174030944
456	0.1173417492
457	0.1172836703
458	0.1171542573
459	0.1171027183
460	0.1169879196
461	0.1168360249
462	0.1167107716
463	0.1166853875
464	0.116651961
465	0.1165662473
466	0.1164888002
467	0.1163655946
468	0.1162996474
469	0.1162373259
470	0.1161460268
471	0.1160846499
472	0.1160196855
473	0.1159754014
474	0.1158221081
475	0.115747144
476	0.1156757363
477	0.1155805761
478	0.1155123075
479	0.1154561226
480	0.115419436
481	0.115354421
482	0.1153049545
483	0.1152476889
484	0.1151889278
485	0.1150818258
486	0.1150438592
487	0.1149927416
488	0.1149276942
489	0.1148676028
490	0.1148197213
491	0.1147685618
492	0.1146967283
493	0.1146115137
494	0.1145536013
495	0.1145038738
496	0.1144551313
497	0.1143771722
498	0.1143083973
499	0.1142236416
